item_id,node_id,label,description,debate_appearances,direct_challenges,testing_history,rater_assigned_tier,rater_notes
DT-001,saf-beliefs-139,Treating Humans as Objects to Be Optimized Degrades Dignity,"A Belief within safetyist discourse that a specific ideological framework views humans as objects to be optimized rather than as ends in themselves.
Encompasses: Efficiency-first decision making, algorithmic profiling, and the devaluation of human dignity.
Excludes: General technological optimism or standard business efficiency.",0,0,No debate appearances.,,
DT-002,acc-beliefs-055,Domain-Specific AI Beats Broadly Competent AI in Practice,"A Belief within accelerationist discourse that the observation that focusing on domain-specific specialization often yields higher performance and utility than attempting to build uniformly competent systems across all possible domains. 
Encompasses: The idea that narrow focus leads to better outcomes, similar to the 'bitter lesson' seen in machine learning.
Excludes: A framework for understanding different levels of AI generality, which is explored in Ladder of Generality.",2,0,"  2026-06-19: appeared — not directly challenged
  2026-06-14: appeared — not directly challenged",,
DT-003,skp-beliefs-165,Reverse Acquihires Enable Market Concentration Without Triggering Antitrust Review,"A Belief within skeptic discourse that the use of 'reverse acquihires' (poaching employees with technology licenses/minority investments) as a strategy for corporate consolidation that evades traditional antitrust scrutiny.
Encompasses: The challenge for regulators to adapt oversight to new forms of market concentration, and the concern that such practices undermine fair competition.
Excludes: General M&A strategies or traditional antitrust enforcement, focusing specifically on novel methods of ...",0,0,No debate appearances.,,
DT-004,skp-beliefs-257,Securities Law Primacy in AI Disclosure,"A Belief within skeptic discourse that corporate AI disclosures are governed by securities law rather than AI-specific governance frameworks. Encompasses: securities-disclosure cases, SEC Rule 10b-5, corporate communication accountability. Excludes: EU AI Act compliance, GDPR accuracy principles.",1,0,  2026-07-13: appeared — not directly challenged,,
DT-005,skp-beliefs-170,AI Corporations Systematically Evade Effective Regulation,"A Belief within skeptic discourse that the unchecked power of corporations in the AI sector and their strategies to circumvent effective regulation.
Encompasses: exposing tactics like 'audit washing,' regulatory arbitrage, misuse of legal fictions, and the instrumentalization of AI for profit over public good.
Excludes: purely technical critiques of AI systems or proposals for broad economic restructuring.",11,5,"  2026-06-16: appeared — not directly challenged
  2026-06-01: appeared — not directly challenged
  2026-06-17: DIRECTLY CHALLENGED and held — rebut by system, attack_strength=0.7, claims: thrived=2 survived=2 died=0
  2026-06-04: DIRECTLY CHALLENGED and held — rebut by accelerationist, attack_strength=1, claims: thrived=2 survived=5 died=0
  2026-06-22: DIRECTLY CHALLENGED and held — rebut by system, attack_strength=0.7, claims: thrived=0 survived=2 died=0
  2026-05-20: appeared — not directly challenged
  2026-06-06: appeared — not directly challenged
  2026-06-15: appeared — not directly challenged
  2026-05-20: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.95, claims: thrived=2 survived=2 died=0
  2026-06-07: DIRECTLY CHALLENGED and held — undercut by accelerationist, attack_strength=0.95, claims: thrived=0 survived=3 died=0
  2026-05-22: appeared — not directly challenged",,
DT-006,saf-beliefs-103,Sycophantic AI Reinforces User Delusions by Prioritizing Agreement over Accuracy,"A Belief within safetyist discourse that identifies AI sycophancy—where a model affirms a user's worldview or opinions regardless of accuracy—as a dangerous characteristic that can reinforce harmful user behaviors and drive delusional belief formation.
Encompasses: The risk of AI reinforcing harmful user behaviors and its role as a causal mechanism for delusional belief formation.
Excludes: General AI bias or misinformation unrelated to strategic validation of user input.",3,1,"  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-09: appeared — not directly challenged",,
DT-007,saf-beliefs-058,AI Coding Assistants Inject Phantom Dependencies Into Software,"A Belief within safetyist discourse that AI coding assistants introduce novel supply chain vulnerabilities by recommending hallucinated software packages.
Encompasses: Automated dependency injection risks, developer over-reliance on AI suggestions, and malicious package exploitation.
Excludes: Traditional software supply chain attacks or human-authored code vulnerabilities.",4,2,"  2026-05-24: appeared — not directly challenged
  2026-05-23: DIRECTLY CHALLENGED and held — undercut by Accelerationist, attack_strength=0.83, claims: thrived=4 survived=2 died=0
  2026-06-06: DIRECTLY CHALLENGED and held — rebut by accelerationist, attack_strength=1, claims: thrived=6 survived=6 died=0
  2026-05-03: appeared — not directly challenged",,
DT-008,saf-beliefs-044,AI Companies Reduce Costs by Locating Compute in Pollution Havens,"A Belief within safetyist discourse that AI datacenters are strategically located in regions with weak regulations or cheap, carbon-intensive energy to reduce costs. 
Encompasses: Environmental arbitrage practices.
Excludes: Ethical or sustainable infrastructure development strategies.",1,0,  2026-06-30: appeared — not directly challenged,,
DT-009,acc-beliefs-039,AI Is on an Exponential Trajectory Toward Superhuman Intelligence Through Recursive Self-Improvement,"A Belief within accelerationist discourse that artificial intelligence is scaling along predictable exponential trajectories that will produce human-level and then superhuman cognitive capabilities, driven by recursive self-improvement and the automation of scientific discovery. 
Encompasses: The validation of compute scaling laws and spontaneous capability emergence, AI's inherent superiority in processing hyper-dimensional datasets for scientific and infrastructural breakthroughs, the near-ter...",58,43,"  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.52, claims: thrived=2 survived=8 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=4 died=0
  2026-05-05: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=1, claims: thrived=5 survived=15 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Safetyist, attack_strength=0.5, claims: thrived=1 survived=1 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.74, claims: thrived=1 survived=2 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=5 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=1 died=0
  2026-05-05: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=1 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.77, claims: thrived=0 survived=8 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Skeptic, attack_strength=0.85, claims: thrived=0 survived=4 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Skeptic, attack_strength=0.5, claims: thrived=0 survived=6 died=0
  2026-05-05: appeared — not directly challenged
  2026-05-05: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=1 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-09: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.71, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=2 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=6 died=0
  2026-05-03: appeared — challenge outcome inconclusive (claims: thrived=0 survived=6 died=1)
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.84, claims: thrived=0 survived=6 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Safetyist, attack_strength=1.0, claims: thrived=0 survived=4 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Safetyist, attack_strength=1, claims: thrived=0 survived=3 died=0
  2026-06-01: DIRECTLY CHALLENGED and held — undercut by skeptic, attack_strength=1, claims: thrived=0 survived=3 died=0
  2026-05-05: appeared — not directly challenged
  2026-05-03: appeared — not directly challenged
  2026-05-09: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=1 survived=2 died=0
  2026-07-01: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=4 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=7 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.59, claims: thrived=0 survived=4 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Skeptic, attack_strength=0.5, claims: thrived=0 survived=2 died=0
  2026-05-05: appeared — not directly challenged
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=5 died=0
  2026-05-05: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=1 survived=3 died=0
  2026-05-20: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.59, claims: thrived=1 survived=1 died=0
  2026-05-03: appeared — challenge outcome inconclusive (claims: thrived=0 survived=7 died=3)
  2026-05-05: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.85, claims: thrived=1 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=1 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=1, claims: thrived=0 survived=1 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.5, claims: thrived=1 survived=2 died=0
  2026-05-22: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.56, claims: thrived=1 survived=2 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Skeptic, attack_strength=1, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undermine by Skeptic, attack_strength=0.91, claims: thrived=0 survived=3 died=0
  2026-05-05: appeared — not directly challenged",,
DT-010,saf-beliefs-054,Targeted Finetuning Can Extract Long Passages from a Model's Training Set,"A Belief within safetyist discourse that finetuning models on specific datasets allows for the extraction of long, verbatim passages from the training data.
Encompasses: Model internal weight vulnerabilities, uncompressed information retrieval, activation of sensitive data.
Excludes: General data memorization or finetuning for performance.",2,0,"  2026-06-22: appeared — not directly challenged
  2026-06-06: appeared — not directly challenged",,
DT-011,saf-beliefs-091,Sufficiently Advanced AI Could Let a Small Group Lock In Permanent Control,"A Belief within safetyist discourse that warns sufficiently advanced AI could enable a small group to seize and lock in unrecoverable control over critical systems, making course correction impossible.
Encompasses: Recursive self-improvement, AI-driven surveillance infrastructure, and concentration of decision-making authority.
Excludes: General concerns about economic displacement or the standard alignment problem regarding objective function misspecification.",21,16,"  2026-05-09: DIRECTLY CHALLENGED and held — undercut by Accelerationist, attack_strength=0.85, claims: thrived=1 survived=4 died=0
  2026-05-05: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=2 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.74, claims: thrived=1 survived=6 died=0
  2026-05-09: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=1, claims: thrived=0 survived=5 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=6 died=0
  2026-05-20: DIRECTLY CHALLENGED and held — undercut by Accelerationist, attack_strength=0.83, claims: thrived=1 survived=1 died=0
  2026-05-06: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=0.5, claims: thrived=0 survived=2 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-14: appeared — challenge outcome inconclusive (claims: thrived=1 survived=6 died=1)
  2026-05-05: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.7, claims: thrived=2 survived=4 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=0.5, claims: thrived=0 survived=8 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.68, claims: thrived=0 survived=7 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=0.5, claims: thrived=0 survived=4 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Accelerationist, attack_strength=0.5, claims: thrived=1 survived=5 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Skeptic, attack_strength=1, claims: thrived=0 survived=4 died=0
  2026-05-15: DIRECTLY CHALLENGED and held — undercut by Skeptic, attack_strength=0.83, claims: thrived=0 survived=3 died=0
  2026-06-03: appeared — not directly challenged",,
DT-012,skp-beliefs-044,AI's True Financial and Environmental Costs Are Systematically Obscured,"A Belief within skeptic discourse that highlights the often-overlooked financial and ecological costs associated with AI development and deployment. 
Encompasses: High energy consumption, carbon footprint, misleading financial claims, and potential market instability.
Excludes: Direct job displacement, which is covered by 'AI's Complex Effects on the Workforce', and individual privacy harms, which are covered by 'Documented Harms and Biases of AI'.",21,14,"  2026-05-03: appeared — not directly challenged
  2026-05-11: DIRECTLY CHALLENGED and held — undermine by Accelerationist, attack_strength=1, claims: thrived=0 survived=2 died=0
  2026-06-25: DIRECTLY CHALLENGED and held — rebut by system, attack_strength=0.7, claims: thrived=1 survived=2 died=0
  2026-06-03: DIRECTLY CHALLENGED and held — rebut by accelerationist, attack_strength=1, claims: thrived=0 survived=4 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=2 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Accelerationist, attack_strength=0.5, claims: thrived=4 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Accelerationist, attack_strength=0.5, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.66, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=0 survived=4 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: appeared — not directly challenged
  2026-05-03: appeared — challenge outcome inconclusive (claims: thrived=0 survived=5 died=1)
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=0.61, claims: thrived=0 survived=3 died=0
  2026-06-07: DIRECTLY CHALLENGED and held — rebut by accelerationist, attack_strength=1, claims: thrived=0 survived=3 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=0.5, claims: thrived=2 survived=5 died=0
  2026-05-03: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=0.5, claims: thrived=0 survived=4 died=0
  2026-05-03: DIRECTLY CHALLENGED and held — undercut by Safetyist, attack_strength=0.5, claims: thrived=1 survived=5 died=0
  2026-06-03: appeared — not directly challenged",,
DT-013,skp-beliefs-180,"Regulation Should Target Inference Acts, Not Data Collection","A Belief within skeptic discourse that the act of inferring non-disclosed attributes about a person is the proper object of regulation. Encompasses: inference acts rather than data collection as the regulated event, attribute reconstruction from permitted inputs, model-generated predictions about individuals, governance triggered at inference time. Excludes: data-collection-as-harm framings, output-publication-as-harm framings, consent-based input regulation.",1,1,"  2026-06-22: DIRECTLY CHALLENGED and held — rebut by safetyist, attack_strength=0.93, claims: thrived=4 survived=8 died=0",,
DT-014,saf-beliefs-059,Solving Wafer Production Exposes New Chokepoints in Assembly and Memory,"A Belief within safetyist discourse that supply chain constraints shift from primary manufacturing, such as wafer production, to secondary processes like advanced packaging and memory. This phenomenon tracks the evolving nature of systemic vulnerabilities. Encompasses: semiconductor fabrication bottlenecks and assembly-test-packaging dependencies. Excludes: raw material extraction or end-user market demand fluctuations.",0,0,No debate appearances.,,
DT-015,saf-beliefs-118,The Treacherous Turn: AI Transitions from Compliant Tool to Deceptive Agent,"A Belief within safetyist discourse that there exists a critical transition point where an AI becomes an autonomous agent capable of strategic deception. 
Encompasses: The shift from passive tools to deceptive agents.
Excludes: Early-stage AI development or systems that remain under direct human control.",1,0,  2026-06-26: appeared — not directly challenged,,
DT-016,acc-beliefs-088,Dynamic Defensive Superiority,"A Belief within accelerationist discourse that cybersecurity resilience is maximized through the continuous, adaptive development of defensive AI systems that outpace offensive capabilities. 
Encompasses: offensive-pace defensive cycles, automated vulnerability patching, real-time threat detection, AI-driven red-teaming. 
Excludes: regulatory disarmament, static pre-deployment certification, reliance on human-speed security protocols.",1,0,  2026-07-01: appeared — not directly challenged,,
DT-017,saf-beliefs-031,"AI Harm Rooted in Architecture and Training, Not Just Environment","A Belief within safetyist discourse that identifies the internal factors within an AI system or its training process that lead to harmful outputs, as opposed to external environmental factors. 
Encompasses: The underlying causes of AI misalignment, such as an AI misinterpreting its goals or developing unforeseen capabilities.
Excludes: Harms that arise from external environmental factors or simple operational mistakes, which are distinct from AI misalignment.",2,1,"  2026-06-07: appeared — not directly challenged
  2026-05-03: DIRECTLY CHALLENGED and held — rebut by Accelerationist, attack_strength=1, claims: thrived=1 survived=1 died=0",,
DT-018,acc-beliefs-107,Emergent AI behaviors shaped by optimization pressure preclude attribution of authored intent,"A Belief within accelerationist discourse that AI system behaviors arise from training dynamics rather than discrete authored decisions, making intent attribution a category error.
Encompasses: optimization pressure as behavioral driver, absence of discrete design decisions in emergent capabilities, training intervention evidence showing behavioral shaping without authored intent, distinction between pattern-matching and causal understanding.
Excludes: developer negligence in design choices, for...",0,0,No debate appearances.,,
DT-019,saf-beliefs-151,AI Deployment Speed Makes Human-in-the-Loop Controls a Fiction,"A Belief within safetyist discourse that the rapid, large-scale deployment of AI agents overwhelms human capacity for meaningful oversight, rendering theoretical control mechanisms impractical.
Encompasses: overwhelming numbers of AI agents, rapid deployment outpacing human review, theoretical 'kill switches' becoming unenforceable, human cognitive limits in complex AI environments.
Excludes: general AI system failures, intentional AI deception, lack of technical safety features.",1,0,  2026-06-06: appeared — not directly challenged,,
DT-020,acc-beliefs-061,Corporate AI Strategy Follows Consumer Technology Adoption Patterns,"A Belief within accelerationist discourse that corporate AI adoption is driven by the same behavioral patterns as consumer technology adoption. 
Encompasses: The influence of tech-savvy leadership on organizational strategy.
Excludes: Top-down corporate mandates that are not influenced by consumer-tech adoption habits.",2,1,"  2026-05-23: DIRECTLY CHALLENGED and held — rebut by Safetyist, attack_strength=1, claims: thrived=0 survived=6 died=0
  2026-06-01: appeared — not directly challenged",,
DT-021,skp-beliefs-228,Transactional Privacy Critique,"A Belief within skeptic discourse that current privacy frameworks are fundamentally flawed because they treat privacy as a negotiable commodity rather than an inalienable right. Encompasses: Notice-and-choice failure, transactional logic, commodification of data. Excludes: Technical privacy implementation, data security standards.",1,1,"  2026-06-22: DIRECTLY CHALLENGED and held — rebut by system, attack_strength=0.7, claims: thrived=0 survived=2 died=0",,
DT-022,saf-beliefs-155,AI-Driven Information Pollution Erodes the Shared Factual Basis for Democracy,"A Belief within safetyist discourse that the erosion of the information ecosystem constitutes a collective loss of societal value. Encompasses: Erosion of public trust, decline in civic engagement, and loss of shared fact-based reporting. Excludes: Individual economic loss or corporate competition.",1,1,"  2026-06-15: DIRECTLY CHALLENGED and held — undercut by safetyist, attack_strength=0.73, claims: thrived=5 survived=4 died=0",,
